URL:,https://finance.yahoo.com/quote/,,,,,,,,,,,,,,,
Scocks Name :,TSLA,,,,,,,,,,,,,,,
,"Tesla, Inc. (TSLA)",810.96,#N/A,(-0.71%),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Previous Close,816.73,,,,,,,,,,,,,,
,Open,816.65,,,,,,,,,,,,,,
,Bid,809.19 x 900,,,,,,,,,,,,,,
,Ask,809.30 x 3200,,,,,,,,,,,,,,
,Day's Range,805.15 - 822.44,,,,,,,,,,,,,,
,52 Week Range,"620.57 - 1,243.49",,,,,,,,,,,,,,
,Volume,"13,345,955",,,,,,,,,,,,,,
,Avg. Volume,"31,302,734",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Company Profile,,,,,,
,,,,,,,Address:,13101 Tesla Road,,"Austin, TX 78725",,United States,,(512) 516-8177,,https://www.tesla.com
,,,,,,,,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric 
vehicles, and energy generation and storage systems in the United States, 
China, and internationally. The company operates in two segments, 
Automotive, and Energy Generation and Storage. The Automotive segment 
offers electric vehicles, as well as sells automotive regulatory credits. 
It provides sedans and sport utility vehicles through direct and used 
vehicle sales, a network of Tesla Superchargers, and in-app upgrades; and 
purchase financing and leasing services. This segment is also involved in 
the provision of non-warranty after-sales vehicle services, sale of used 
vehicles, retail merchandise, and vehicle insurance, as well as sale of 
products to third party customers; services for electric vehicles through 
its company-owned service locations, and Tesla mobile service technicians; 
and vehicle limited warranties and extended service plans. The Energy 
Generation and Storage segment engages in the design, manufacture, 
installation, sale, and leasing of solar energy generation and energy 
storage products, and related services to residential, commercial, and 
industrial customers and utilities through its website, stores, and 
galleries, as well as through a network of channel partners. This segment 
also offers service and repairs to its energy product customers, including 
under warranty; and various financing options to its solar customers. The 
company was formerly known as Tesla Motors, Inc. and changed its name to 
Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is 
headquartered in Austin, Texas.",,,,,,,,